date,ticker,close,volume
2024-01-01,DIGX,100.65,62510
2024-01-02,DIGX,103.11,55759
2024-01-03,DIGX,102.6,58744
2024-01-04,DIGX,103.29,47010
2024-01-05,DIGX,102.98,74875
2024-01-06,DIGX,99.95,33768
2024-01-07,DIGX,99.15,58700
2024-01-08,DIGX,99.85,46087
2024-01-09,DIGX,100.98,49440
2024-01-10,DIGX,101.3,43757
2024-01-11,DIGX,101.15,49945
2024-01-12,DIGX,102.84,75780
2024-01-13,DIGX,99.8,56152
2024-01-14,DIGX,100.56,61184
2024-01-15,DIGX,100.71,59016
2024-01-16,DIGX,101.86,39025
2024-01-17,DIGX,99.09,69288
2024-01-18,DIGX,101.62,38997
2024-01-19,DIGX,103.5,57704
2024-01-20,DIGX,99.43,60390
2024-01-21,DIGX,99.02,63473
2024-01-22,DIGX,97.32,41410
2024-01-23,DIGX,96.38,47495
2024-01-24,DIGX,99.59,42240
2024-01-25,DIGX,97.63,74785
2024-01-26,DIGX,101.83,57979
2024-01-27,DIGX,101.24,35995
2024-01-28,DIGX,99.38,56454
2024-01-29,DIGX,100.53,37746
2024-01-30,DIGX,100.82,46791
2024-01-31,DIGX,100.76,55800
2024-02-01,DIGX,104.23,42636
2024-02-02,DIGX,104.8,62590
2024-02-03,DIGX,103.66,48279
2024-02-04,DIGX,101.5,62473
2024-02-05,DIGX,99.39,42433
2024-02-06,DIGX,100.3,40074
2024-02-07,DIGX,99.4,46555
2024-02-08,DIGX,102.59,47624
2024-02-09,DIGX,103.4,33033
2024-02-10,DIGX,100.46,71026
2024-02-11,DIGX,100.91,32199
2024-02-12,DIGX,99.74,57025
2024-02-13,DIGX,98.06,39793
2024-02-14,DIGX,99.95,39330
2024-02-15,DIGX,102.08,61132
2024-02-16,DIGX,103.06,45029
2024-02-17,DIGX,103.11,42678
2024-02-18,DIGX,103.14,53681
2024-02-19,DIGX,101.03,61268
2024-02-20,DIGX,105.27,43665
2024-02-21,DIGX,104.88,59530
2024-02-22,DIGX,105.19,47244
2024-02-23,DIGX,103.87,61630
2024-02-24,DIGX,104.73,55867
2024-02-25,DIGX,103.34,57318
2024-02-26,DIGX,102.87,47856
2024-02-27,DIGX,103.77,75169
2024-02-28,DIGX,100.81,57031
2024-02-29,DIGX,100.03,34186
2024-03-01,DIGX,101.0,56329
2024-03-02,DIGX,102.16,36486
2024-03-03,DIGX,100.87,43547
2024-03-04,DIGX,100.26,40369
2024-03-05,DIGX,99.08,70356
2024-03-06,DIGX,99.39,48185
2024-03-07,DIGX,100.13,43208
2024-03-08,DIGX,101.58,46544
2024-03-09,DIGX,103.49,36249
2024-03-10,DIGX,101.79,72633
2024-03-11,DIGX,100.84,58919
2024-03-12,DIGX,103.47,56432
2024-03-13,DIGX,103.64,31937
2024-03-14,DIGX,101.49,61359
2024-03-15,DIGX,103.51,56613
2024-03-16,DIGX,101.55,25228
2024-03-17,DIGX,101.27,36269
2024-03-18,DIGX,100.98,38123
2024-03-19,DIGX,104.27,42764
2024-03-20,DIGX,103.41,60045
2024-03-21,DIGX,104.26,39542
2024-03-22,DIGX,105.65,72359
2024-03-23,DIGX,103.69,47110
2024-03-24,DIGX,102.75,27405
2024-03-25,DIGX,102.74,58121
2024-03-26,DIGX,104.65,54988
2024-03-27,DIGX,101.67,49685
2024-03-28,DIGX,101.8,36295
2024-03-29,DIGX,101.37,58915
2024-03-30,DIGX,102.38,72904
2024-03-31,DIGX,104.28,27754
2024-04-01,DIGX,104.24,64562
2024-04-02,DIGX,104.38,35864
2024-04-03,DIGX,107.12,34686
2024-04-04,DIGX,106.32,27763
2024-04-05,DIGX,104.21,30166
2024-04-06,DIGX,106.37,63754
2024-04-07,DIGX,105.72,34171
2024-04-08,DIGX,103.91,54424
2024-04-09,DIGX,102.02,36468
2024-04-10,DIGX,102.98,58220
2024-04-11,DIGX,103.98,55255
2024-04-12,DIGX,102.82,20892
2024-04-13,DIGX,104.46,39270
2024-04-14,DIGX,105.0,45587
2024-04-15,DIGX,104.36,40964
2024-04-16,DIGX,106.77,50364
2024-04-17,DIGX,107.12,57368
2024-04-18,DIGX,108.2,54730
