ts,line_id,machine_id,shift,temperature_c,vibration_mm_s,pressure_kpa,cycle_time_s,units_produced,defect_count_running,is_defect_event,defect_type,operator_id,material_lot,power_kwh
2026-04-01T00:00:00,LINE-A,M-A1,night,75.11,1.388,240.0,52.79,6,0,false,,OP-024,LOT-0009,0.523
2026-04-01T00:00:00,LINE-A,M-A2,night,74.23,1.356,265.5,51.55,6,0,false,,OP-017,LOT-0028,0.49
2026-04-01T00:00:00,LINE-A,M-A3,night,76.24,1.037,249.7,47.47,6,0,false,,OP-010,LOT-0047,0.544
2026-04-01T00:00:00,LINE-B,M-B1,night,77.46,1.405,245.4,50.28,6,0,false,,OP-019,LOT-0018,0.561
2026-04-01T00:00:00,LINE-B,M-B2,night,78.05,2.478,262.8,56.18,5,0,false,,OP-012,LOT-0037,0.429
2026-04-01T00:00:00,LINE-C,M-C1,night,77.85,2.477,267.0,51.93,6,0,false,,OP-010,LOT-0027,0.505
2026-04-01T00:00:00,LINE-C,M-C2,night,74.97,2.332,251.4,48.77,6,0,false,,OP-003,LOT-0046,0.568
2026-04-01T00:00:00,LINE-D,M-D1,night,75.35,1.096,233.7,40.5,7,0,false,,OP-005,LOT-0036,0.625
2026-04-01T00:00:00,LINE-D,M-D2,night,77.01,2.313,228.2,54.17,6,0,false,,OP-023,LOT-0055,0.604
2026-04-01T00:00:00,LINE-E,M-E1,night,74.13,0.842,240.5,52.4,6,0,false,,OP-021,LOT-0045,0.507
2026-04-01T00:00:00,LINE-E,M-E2,night,77.04,0.898,239.4,44.34,7,0,false,,OP-014,LOT-0064,0.63
2026-04-01T00:00:00,LINE-E,M-E3,night,76.58,1.282,235.5,52.66,6,0,false,,OP-007,LOT-0003,0.573
2026-04-01T00:00:00,LINE-F,M-F1,night,75.55,0.958,280.7,48.31,6,0,false,,OP-016,LOT-0054,0.632
2026-04-01T00:00:00,LINE-F,M-F2,night,76.57,1.917,248.9,51.14,6,0,false,,OP-009,LOT-0073,0.453
2026-04-01T00:00:00,LINE-F,M-F3,night,77.1,1.038,257.3,55.29,5,0,false,,OP-002,LOT-0012,0.552
2026-04-01T00:05:00,LINE-A,M-A1,night,77.98,1.912,251.1,44.37,13,0,false,,OP-024,LOT-0009,1.148
2026-04-01T00:05:00,LINE-A,M-A2,night,75.67,1.5,233.7,48.84,12,0,false,,OP-017,LOT-0028,1.099
2026-04-01T00:05:00,LINE-A,M-A3,night,77.89,1.935,255.1,49.14,12,0,false,,OP-010,LOT-0047,1.064
2026-04-01T00:05:00,LINE-B,M-B1,night,75.74,2.508,271.2,49.53,12,0,false,,OP-019,LOT-0018,1.167
2026-04-01T00:05:00,LINE-B,M-B2,night,75.52,2.364,267.5,54.79,10,0,false,,OP-012,LOT-0037,1.064
2026-04-01T00:05:00,LINE-C,M-C1,night,78.43,1.686,264.1,51.5,12,0,false,,OP-010,LOT-0027,1.003
2026-04-01T00:05:00,LINE-C,M-C2,night,79.24,0.888,241.1,51.39,12,0,false,,OP-003,LOT-0046,1.181
2026-04-01T00:05:00,LINE-D,M-D1,night,77.82,1.437,256.2,57.35,12,0,false,,OP-005,LOT-0036,1.247
2026-04-01T00:05:00,LINE-D,M-D2,night,76.83,2.692,241.9,49.81,12,0,false,,OP-023,LOT-0055,1.128
2026-04-01T00:05:00,LINE-E,M-E1,night,76.08,1.677,271.6,52.03,12,0,false,,OP-021,LOT-0045,1.03
2026-04-01T00:05:00,LINE-E,M-E2,night,76.88,1.01,235.6,43.64,14,0,false,,OP-014,LOT-0064,1.069
2026-04-01T00:05:00,LINE-E,M-E3,night,76.99,2.545,236.6,53.1,12,0,false,,OP-007,LOT-0003,1.117
2026-04-01T00:05:00,LINE-F,M-F1,night,75.74,1.994,251.7,47.57,12,0,false,,OP-016,LOT-0054,1.053
2026-04-01T00:05:00,LINE-F,M-F2,night,79.27,1.427,248.4,55.74,11,0,false,,OP-009,LOT-0073,1.049
2026-04-01T00:05:00,LINE-F,M-F3,night,76.38,2.555,246.2,50.74,11,0,false,,OP-002,LOT-0012,0.988
2026-04-01T00:10:00,LINE-A,M-A1,night,75.58,1.63,254.7,48.25,19,0,false,,OP-024,LOT-0009,1.633
2026-04-01T00:10:00,LINE-A,M-A2,night,77.28,2.159,255.7,53.73,18,0,false,,OP-017,LOT-0028,1.544
2026-04-01T00:10:00,LINE-A,M-A3,night,75.49,1.382,247.1,44.01,19,0,false,,OP-010,LOT-0047,1.64
2026-04-01T00:10:00,LINE-B,M-B1,night,75.87,1.683,242.6,51.87,18,0,false,,OP-019,LOT-0018,1.711
2026-04-01T00:10:00,LINE-B,M-B2,night,77.04,1.973,261.1,49.33,16,0,false,,OP-012,LOT-0037,1.705
2026-04-01T00:10:00,LINE-C,M-C1,night,76.14,1.793,238.4,48.27,18,0,false,,OP-010,LOT-0027,1.479
2026-04-01T00:10:00,LINE-C,M-C2,night,76.81,2.514,240.1,43.14,19,0,false,,OP-003,LOT-0046,1.675
2026-04-01T00:10:00,LINE-D,M-D1,night,76.67,2.421,259.9,51.4,18,0,false,,OP-005,LOT-0036,1.841
2026-04-01T00:10:00,LINE-D,M-D2,night,75.87,1.614,253.1,55.27,17,0,false,,OP-023,LOT-0055,1.592
2026-04-01T00:10:00,LINE-E,M-E1,night,76.82,1.212,256.6,48.76,18,0,false,,OP-021,LOT-0045,1.664
2026-04-01T00:10:00,LINE-E,M-E2,night,75.61,1.687,247.2,43.36,21,0,false,,OP-014,LOT-0064,1.666
2026-04-01T00:10:00,LINE-E,M-E3,night,77.44,2.08,239.1,51.91,18,0,false,,OP-007,LOT-0003,1.648
2026-04-01T00:10:00,LINE-F,M-F1,night,76.59,13.51,240.6,51.61,18,0,false,,OP-016,LOT-0054,1.564
2026-04-01T00:10:00,LINE-F,M-F2,night,76.05,0.983,241.4,53.32,17,0,false,,OP-009,LOT-0073,1.638
2026-04-01T00:10:00,LINE-F,M-F3,night,77.31,1.647,247.7,48.87,17,0,false,,OP-002,LOT-0012,1.568
2026-04-01T00:15:00,LINE-A,M-A1,night,76.78,1.329,239.2,48.02,25,0,false,,OP-024,LOT-0009,2.26
2026-04-01T00:15:00,LINE-A,M-A2,night,76.91,2.277,234.5,54.87,23,0,false,,OP-017,LOT-0028,2.194
2026-04-01T00:15:00,LINE-A,M-A3,night,76.53,2.672,262.3,55.45,24,0,false,,OP-010,LOT-0047,2.288
