date,close,return_pct
2024-01-02,151.0,-0.8533
2024-01-03,151.48,0.3206
2024-01-04,150.4,-0.7176
2024-01-05,152.28,1.2517
2024-01-08,151.58,-0.462
2024-01-09,152.08,0.3327
2024-01-10,149.52,-1.6829
2024-01-11,150.86,0.8939
2024-01-12,150.12,-0.4867
2024-01-15,150.98,0.5714
2024-01-16,151.69,0.469
2024-01-17,151.41,-0.1855
2024-01-18,151.9,0.3227
2024-01-19,151.2,-0.4609
2024-01-22,153.9,1.7899
2024-01-23,155.83,1.2546
2024-01-24,156.87,0.6672
2024-01-25,154.53,-1.4942
2024-01-26,152.38,-1.3891
2024-01-29,151.13,-0.823
2024-01-30,150.71,-0.2785
2024-01-31,151.65,0.6224
2024-02-01,149.94,-1.1255
2024-02-02,152.29,1.5702
2024-02-05,152.36,0.0447
2024-02-06,148.44,-2.5766
2024-02-07,147.58,-0.5779
2024-02-08,142.68,-3.3207
2024-02-09,141.34,-0.9372
2024-02-12,140.39,-0.6739
2024-02-13,139.33,-0.7535
2024-02-14,138.8,-0.3828
2024-02-15,138.14,-0.4723
2024-02-16,137.13,-0.7319
2024-02-19,139.86,1.9932
2024-02-20,142.13,1.6194
2024-02-21,140.08,-1.4444
2024-02-22,142.41,1.6701
2024-02-23,139.47,-2.0678
2024-02-26,138.05,-1.019
2024-02-27,140.84,2.0228
2024-02-28,136.8,-2.8714
2024-02-29,137.87,0.7872
2024-03-01,135.68,-1.5895
2024-03-04,135.48,-0.1472
2024-03-05,135.22,-0.1943
2024-03-06,138.26,2.2464
2024-03-07,136.86,-1.0138
2024-03-08,136.79,-0.0497
2024-03-11,137.96,0.8551
2024-03-12,137.56,-0.2873
2024-03-13,136.15,-1.0287
2024-03-14,136.1,-0.037
2024-03-15,136.31,0.1616
2024-03-18,137.94,1.1893
2024-03-19,136.3,-1.186
2024-03-20,135.56,-0.5439
2024-03-21,136.18,0.4598
2024-03-22,135.94,-0.1773
2024-03-25,135.67,-0.2009
2024-03-26,135.69,0.0179
2024-03-27,134.52,-0.8646
2024-03-28,133.17,-0.9996
2024-03-29,133.99,0.6129
2024-04-01,132.14,-1.3836
2024-04-02,134.19,1.555
2024-04-03,134.62,0.3225
2024-04-04,132.44,-1.6195
2024-04-05,132.98,0.4079
2024-04-08,133.33,0.2575
2024-04-09,134.7,1.0308
2024-04-10,136.78,1.5465
2024-04-11,136.19,-0.4363
2024-04-12,134.99,-0.8801
2024-04-15,133.98,-0.7478
2024-04-16,132.32,-1.2354
2024-04-17,131.09,-0.9304
2024-04-18,131.63,0.4099
2024-04-19,131.71,0.0598
2024-04-22,130.92,-0.5988
2024-04-23,129.72,-0.9197
2024-04-24,130.35,0.4923
2024-04-25,129.56,-0.6121
2024-04-26,127.86,-1.3122
2024-04-29,127.66,-0.1572
2024-04-30,127.27,-0.3038
2024-05-01,125.55,-1.3511
2024-05-02,126.95,1.1153
2024-05-03,128.4,1.1398
2024-05-06,128.52,0.0932
2024-05-07,128.79,0.2104
2024-05-08,129.72,0.7255
2024-05-09,129.72,-0.0002
2024-05-10,131.27,1.1987
2024-05-13,134.15,2.1928
2024-05-14,134.35,0.1446
2024-05-15,135.17,0.6123
2024-05-16,136.76,1.1755
2024-05-17,136.21,-0.3995
2024-05-20,134.27,-1.4268
2024-05-21,135.9,1.2178
2024-05-22,133.19,-1.9994
2024-05-23,136.34,2.3655
2024-05-24,137.93,1.1716
2024-05-27,138.33,0.284
2024-05-28,138.47,0.1064
2024-05-29,141.68,2.3168
2024-05-30,140.0,-1.1901
2024-05-31,137.94,-1.4683
2024-06-03,136.92,-0.7376
2024-06-04,136.51,-0.3003
2024-06-05,134.78,-1.2684
2024-06-06,135.1,0.24
2024-06-07,135.4,0.2167
2024-06-10,134.02,-1.018
2024-06-11,136.86,2.124
2024-06-12,134.44,-1.7697
2024-06-13,132.26,-1.6197
2024-06-14,132.96,0.529
2024-06-17,132.66,-0.2297
2024-06-18,133.43,0.583
2024-06-19,132.41,-0.7647
2024-06-20,130.69,-1.3033
2024-06-21,129.64,-0.7992
2024-06-24,128.54,-0.8487
2024-06-25,129.47,0.7225
2024-06-26,128.71,-0.5839
2024-06-27,130.04,1.0299
2024-06-28,131.09,0.8045
2024-07-01,132.91,1.3928
2024-07-02,134.52,1.2109
2024-07-03,135.95,1.0597
2024-07-04,137.36,1.0408
2024-07-05,136.49,-0.6317
2024-07-08,136.08,-0.3004
2024-07-09,132.9,-2.3392
2024-07-10,133.46,0.4193
2024-07-11,132.34,-0.8359
2024-07-12,133.09,0.562
2024-07-15,134.05,0.7257
2024-07-16,131.75,-1.7177
2024-07-17,130.07,-1.278
2024-07-18,129.53,-0.4142
2024-07-19,128.71,-0.6329
2024-07-22,129.04,0.2571
2024-07-23,127.15,-1.4621
2024-07-24,127.28,0.1013
2024-07-25,124.54,-2.155
2024-07-26,121.1,-2.7616
2024-07-29,122.27,0.9717
2024-07-30,120.25,-1.6569
2024-07-31,119.42,-0.6879
2024-08-01,117.27,-1.8026
2024-08-02,115.17,-1.7915
2024-08-05,114.62,-0.4785
2024-08-06,114.05,-0.4932
2024-08-07,115.55,1.3174
2024-08-08,116.28,0.6244
2024-08-09,115.29,-0.8478
2024-08-12,118.31,2.6161
2024-08-13,122.84,3.8363
2024-08-14,124.61,1.4384
2024-08-15,122.94,-1.3415
2024-08-16,127.25,3.5033
2024-08-19,134.95,6.053
2024-08-20,138.03,2.2858
2024-08-21,146.4,6.0603
2024-08-22,151.07,3.1904
2024-08-23,155.49,2.9261
2024-08-26,149.79,-3.6666
2024-08-27,144.18,-3.7461
2024-08-28,143.99,-0.1282
2024-08-29,135.88,-5.6362
2024-08-30,133.19,-1.976
2024-09-02,137.17,2.9889
2024-09-03,134.13,-2.2215
2024-09-04,136.61,1.8528
2024-09-05,130.39,-4.5543
2024-09-06,128.25,-1.6384
2024-09-09,132.77,3.5197
2024-09-10,133.76,0.7489
2024-09-11,135.14,1.027
2024-09-12,143.02,5.8361
2024-09-13,149.39,4.4491
2024-09-16,144.99,-2.9413
2024-09-17,151.55,4.5209
2024-09-18,148.44,-2.0518
2024-09-19,148.41,-0.0198
2024-09-20,148.54,0.0917
2024-09-23,154.02,3.6883
2024-09-24,148.17,-3.7995
2024-09-25,150.51,1.5763
2024-09-26,153.25,1.8217
2024-09-27,157.54,2.7991
2024-09-30,156.47,-0.6753
2024-10-01,161.87,3.4516
2024-10-02,158.02,-2.3792
2024-10-03,164.25,3.94
2024-10-04,166.28,1.2376
2024-10-07,158.43,-4.7203
2024-10-08,160.69,1.4269
2024-10-09,161.13,0.2731
2024-10-10,160.45,-0.4224
2024-10-11,158.98,-0.9171
2024-10-14,158.55,-0.2723
2024-10-15,155.64,-1.8348
2024-10-16,159.12,2.2379
2024-10-17,156.85,-1.4268
2024-10-18,155.57,-0.8197
2024-10-21,157.94,1.5284
2024-10-22,159.21,0.8005
2024-10-23,160.76,0.9763
2024-10-24,164.0,2.0117
2024-10-25,163.4,-0.3658
2024-10-28,161.24,-1.3204
2024-10-29,163.07,1.1375
2024-10-30,164.83,1.0752
2024-10-31,164.19,-0.385
2024-11-01,161.56,-1.6053
2024-11-04,164.22,1.6509
2024-11-05,165.52,0.7886
2024-11-06,162.63,-1.7455
2024-11-07,164.34,1.0539
2024-11-08,161.33,-1.8333
2024-11-11,160.38,-0.5874
2024-11-12,158.1,-1.4203
2024-11-13,156.86,-0.7892
2024-11-14,155.22,-1.0433
2024-11-15,154.04,-0.7573
2024-11-18,155.56,0.9815
2024-11-19,156.21,0.423
2024-11-20,157.55,0.8574
2024-11-21,159.85,1.46
2024-11-22,159.14,-0.4445
2024-11-25,159.37,0.1439
2024-11-26,160.55,0.7396
2024-11-27,164.18,2.2588
2024-11-28,166.16,1.2088
2024-11-29,169.21,1.836
2024-12-02,171.52,1.3647
2024-12-03,173.95,1.4144
2024-12-04,169.98,-2.2801
2024-12-05,172.0,1.1851
2024-12-06,172.54,0.3168
2024-12-09,172.73,0.1105
2024-12-10,171.62,-0.6454
2024-12-11,170.74,-0.5129
2024-12-12,171.73,0.581
2024-12-13,173.67,1.132
2024-12-16,170.36,-1.9071
2024-12-17,170.91,0.3235
2024-12-18,169.73,-0.6889
2024-12-19,167.7,-1.196
2024-12-20,168.63,0.5504
2024-12-23,167.97,-0.3873
2024-12-24,166.6,-0.8167
2024-12-25,165.0,-0.9599
2024-12-26,165.67,0.4057
2024-12-27,165.72,0.027
2024-12-30,163.43,-1.3791
2024-12-31,161.71,-1.0533
2025-01-01,161.39,-0.1973
2025-01-02,162.31,0.5667
2025-01-03,160.16,-1.3246
2025-01-06,161.24,0.6745
2025-01-07,159.57,-1.0312
2025-01-08,165.3,3.5861
2025-01-09,163.34,-1.1833
2025-01-10,161.73,-0.9872
2025-01-13,162.2,0.2922
2025-01-14,160.36,-1.1331
2025-01-15,162.15,1.1159
2025-01-16,166.01,2.3818
2025-01-17,165.24,-0.4639
2025-01-20,165.68,0.2646
2025-01-21,164.63,-0.6331
2025-01-22,164.7,0.04
2025-01-23,167.83,1.9013
2025-01-24,169.85,1.2025
2025-01-27,167.92,-1.1355
2025-01-28,171.36,2.0497
2025-01-29,174.02,1.5507
2025-01-30,175.19,0.6723
2025-01-31,173.76,-0.817
2025-02-03,173.97,0.1254
2025-02-04,172.25,-0.9941
2025-02-05,173.36,0.6479
2025-02-06,172.72,-0.3714
2025-02-07,167.77,-2.8655
2025-02-10,169.86,1.2441
2025-02-11,170.35,0.2889
2025-02-12,172.8,1.442
2025-02-13,172.57,-0.137
2025-02-14,173.06,0.285
2025-02-17,175.64,1.4899
2025-02-18,176.59,0.5441
2025-02-19,177.32,0.4144
2025-02-20,184.8,4.2187
2025-02-21,184.47,-0.1797
2025-02-24,184.95,0.2599
2025-02-25,189.19,2.2942
2025-02-26,187.29,-1.0065
2025-02-27,184.83,-1.3133
2025-02-28,181.46,-1.8217
2025-03-03,182.8,0.7338
2025-03-04,184.36,0.8533
2025-03-05,186.21,1.0039
2025-03-06,183.0,-1.7196
2025-03-07,185.47,1.3476
2025-03-10,188.43,1.5964
2025-03-11,188.27,-0.0865
2025-03-12,188.42,0.0823
2025-03-13,190.15,0.9183
2025-03-14,191.14,0.5173
2025-03-17,192.81,0.8746
2025-03-18,190.16,-1.3719
2025-03-19,189.81,-0.187
